# NIST ASD energy levels for Mg I  (cm^-1)
# config	term	J	level_cm1	parity	is_predicted
2p6.3s2	1S	0	0.000	e	0
3s.3p	3P	0	21850.405	o	0
3s.3p	3P	1	21870.464	o	0
3s.3p	3P	2	21911.178	o	0
3s.3p	1P	1	35051.264	o	0
3s.4s	3S	1	41197.403	e	0
3s.4s	1S	0	43503.333	e	0
3s.3d	1D	2	46403.065	e	0
3s.4p	3P	0	47841.119	o	0
3s.4p	3P	1	47844.414	o	0
3s.4p	3P	2	47851.162	o	0
3s.3d	3D	2	47957.027	e	0
3s.3d	3D	3	47957.045	e	0
3s.3d	3D	1	47957.058	e	0
3s.4p	1P	1	49346.729	o	0
3s.5s	3S	1	51872.526	e	0
3s.5s	1S	0	52556.206	e	0
3s.4d	1D	2	53134.642	e	0
3s.4d	3D	3	54192.256	e	0
3s.4d	3D	2	54192.294	e	0
3s.4d	3D	1	54192.335	e	0
3s.5p	3P	0	54248.809	o	0
3s.5p	3P	1	54250.086	o	0
3s.5p	3P	2	54252.726	o	0
3s.4f	1F	3	54676.438	o	0
3s.4f	3F	2	54676.654	o	0
3s.4f	3F	3	54676.701	o	0
3s.4f	3F	4	54676.755	o	0
3s.5p	1P	1	54706.536	o	0
3s.6s	3S	1	55891.800	e	0
3s.6s	1S	0	56186.873	e	0
3s.5d	1D	2	56308.381	e	0
3s.5d	3D	3	56968.218	e	0
3s.5d	3D	2	56968.248	e	0
3s.5d	3D	1	56968.271	e	0
3s.6p	3P	0	57017.078	o	0
3s.6p	3P	1	57017.724	o	0
3s.6p	3P	2	57019.025	o	0
3s.5f	1F	3	57204.163	o	0
3s.5f	3F	2	57204.228	o	0
3s.5f	3F	3	57204.267	o	0
3s.5f	3F	4	57204.305	o	0
3s.6p	1P	1	57214.992	o	0
3s.5g	1G	4	57262.760	e	0
3s.5g	3G	3	57262.760	e	0
3s.5g	3G	4	57262.760	e	0
3p2	3P	0	57812.770	e	0
3p2	3P	1	57833.400	e	0
3s.7s	3S	1	57855.214	e	0
3p2	3P	2	57873.940	e	0
3s.7s	1S	0	58009.410	e	0
3s.6d	1D	2	58023.246	e	0
3s.6d	3D	3	58442.843	e	0
3s.6d	3D	2	58442.853	e	0
3s.6d	3D	1	58442.874	e	0
3s.7p	3P	0	58476.689	o	0
3s.7p	3P	1	58477.020	o	0
3s.7p	3P	2	58477.760	o	0
3s.6f	1F	3	58575.477	o	0
3s.6f	3F	2	58575.527	o	0
3s.6f	3F	3	58575.527	o	0
3s.6f	3F	4	58575.527	o	0
3s.7p	1P	1	58580.230	o	0
3s.6g	1G	4	58610.795	e	0
3s.6g	3G	3	58610.795	e	0
3s.6g	3G	4	58610.795	e	0
3s.6g	3G	5	58610.795	e	0
3s.6h	H		58618.942	o	0
3s.8s	3S	1	58962.739	e	0
3s.7d	1D	2	59041.019	e	0
3s.8s	1S	0	59053.520	e	0
3s.7d	3D	3	59318.764	e	0
3s.7d	3D	2	59318.775	e	0
3s.7d	3D	1	59318.793	e	0
3s.8p	3P	0	59342.510	o	0
3s.8p	3P	1	59342.510	o	0
3s.8p	3P	2	59342.510	o	0
3s.7f	3F	2	59400.763	o	0
3s.7f	3F	3	59400.763	o	0
3s.7f	3F	4	59400.763	o	0
3s.7f	1F	3	59400.763	o	0
3s.8p	1P	1	59403.180	o	0
3s.7g	1G	4	59423.537	e	0
3s.7g	3G	3	59423.537	e	0
3s.7g	3G	4	59423.537	e	0
3s.7g	3G	5	59423.537	e	0
3s.7h	H		59428.853	o	0
3s.7i	I		59430.517	e	0
3s.9s	3S	1	59649.150	e	0
3s.8d	1D	2	59689.991	e	0
3s.9s	1S	0	59707.110	e	0
3s.8d	3D	3	59881.168	e	0
3s.8d	3D	2	59881.181	e	0
3s.8d	3D	1	59881.196	e	0
3s.9p	3P	0	59897.860	o	0
3s.9p	3P	1	59897.860	o	0
3s.9p	3P	2	59897.860	o	0
3s.8f	3F	2	59935.370	o	0
3s.8f	3F	3	59935.370	o	0
3s.8f	3F	4	59935.370	o	0
3s.8f	1F	3	59935.370	o	0
3s.9p	1P	1	59936.630	o	0
3s.8g	1G	4	59950.870	e	0
3s.8g	3G	4	59950.870	e	0
3s.8g	3G	5	59950.870	e	0
3s.8h	H		59954.523	o	0
3s.10s	3S	1	60104.000	e	0
3s.9d	1D	2	60127.239	e	0
3s.10s	1S	0	60143.230	e	0
3s.9d	3D	1	60263.583	e	0
3s.9d	3D	2	60263.583	e	0
3s.9d	3D	3	60263.583	e	0
3s.9f	3F	2	60301.283	o	0
3s.9f	3F	3	60301.283	o	0
3s.9f	3F	4	60301.283	o	0
3s.9f	1F	3	60301.283	o	0
3s.10p	1P	1	60302.300	o	0
3s.9g	G	3 or 4	60312.317	e	0
3s.9h	H		60314.902	o	0
3s.9i	I		60315.722	e	0
3s.9k	K		60316.041	o	0
3s.11s	3S	1	60420.870	e	0
3s.10d	1D	2	60435.099	e	0
3s.10d	3D	1	60535.340	e	0
3s.10d	3D	2	60535.340	e	0
3s.10d	3D	3	60535.340	e	0
3s.10f	3F	2	60562.637	o	0
3s.10f	3F	3	60562.637	o	0
3s.10f	3F	4	60562.637	o	0
3s.10f	1F	3	60562.637	o	0
3s.11p	1P	1	60563.350	o	0
3s.12s	3S	1	60650.460	e	0
3s.11d	1D	2	60659.690	e	0
3s.11d	3D	1	60735.380	e	0
3s.11d	3D	2	60735.380	e	0
3s.11d	3D	3	60735.380	e	0
3s.11f	3F	2	60755.764	o	0
3s.11f	3F	3	60755.764	o	0
3s.11f	3F	4	60755.764	o	0
3s.11f	1F	3	60755.764	o	0
3s.12p	1P	1	60756.130	o	0
3s.13s	3S	1	60822.170	e	1
3s.12d	1D	2	60828.410	e	0
3s.12d	3D	1	60886.830	e	0
3s.12d	3D	2	60886.830	e	0
3s.12d	3D	3	60886.830	e	0
3s.12f	3F	2	60902.500	o	0
3s.12f	3F	3	60902.500	o	0
3s.12f	3F	4	60902.500	o	0
3s.12f	1F	3	60902.500	o	0
3s.13p	1P	1	60902.930	o	0
3s.14s	3S	1	60953.900	e	1
3s.13d	1D	2	60958.310	e	0
3s.13d	3D	1	61004.330	e	0
3s.13d	3D	2	61004.330	e	0
3s.13d	3D	3	61004.330	e	0
3s.13f	3F	2	61016.600	o	1
3s.13f	3F	3	61016.600	o	1
3s.13f	3F	4	61016.600	o	1
3s.13f	1F	3	61016.600	o	1
3s.14p	1P	1	61016.930	o	0
3s.14d	1D	2	61060.500	e	0
3s.14d	3D	1	61097.270	e	1
3s.14d	3D	2	61097.270	e	1
3s.14d	3D	3	61097.270	e	1
3s.14f	3F	2	61107.050	o	1
3s.14f	3F	3	61107.050	o	1
3s.14f	3F	4	61107.050	o	1
3s.14f	1F	3	61107.050	o	1
3s.15p	1P	1	61107.340	o	0
3s.15d	1D	2	61142.100	e	0
3s.15f	3F	2	61179.970	o	1
3s.15f	3F	3	61179.970	o	1
3s.15f	3F	4	61179.970	o	1
3s.15f	1F	3	61179.970	o	1
3s.16p	1P	1	61180.240	o	0
3s.16d	1D	2	61208.200	e	0
3s.17p	1P	1	61239.830	o	0
3s.17d	1D	2	61262.900	e	0
3s.18p	1P	1	61289.190	o	0
3s.18d	1D	2	61308.400	e	0
3s.19p	1P	1	61330.550	o	0
3s.19d	1D	2	61346.700	e	0
3s.20p	1P	1	61365.550	o	0
3s.20d	1D	2	61379.200	e	0
3s.21p	1P	1	61395.430	o	0
3s.21d	1D	2	61407.000	e	0
3s.22p	1P	1	61421.140	o	0
3s.22d	1D	2	61432.000	e	0
3s.23p	1P	1	61443.410	o	0
3s.23d	1D	2	61452.000	e	0
3s.24p	1P	1	61462.820	o	0
3s.24d	1D	2	61471.000	e	0
3s.25p	1P	1	61479.870	o	0
3s.25d	1D	2	61487.000	e	0
3s.26p	1P	1	61494.900	o	0
3s.27p	1P	1	61508.240	o	0
3s.28p	1P	1	61520.120	o	0
3s.29p	1P	1	61530.730	o	0
3s.30p	1P	1	61540.260	o	0
