# NIST ASD lines for Mg I  (2000-9000 A, vac)
# ritz_wl_A	log_gf	gA	acc	conf_i	term_i	J_i	conf_k	term_k	J_k
2025.824	-0.947	1.84e+08	B+	2p6.3s2	1S	0	3s.4p	1P*	1
2731.994	-1.631	2.09e+07	D+	3s.3p	3P*	0	3s.6d	3D	1
2733.492	-1.756	1.56e+07	D	3s.3p	3P*	1	3s.6d	3D	1
2733.494	-1.280	4.68e+07	D+	3s.3p	3P*	1	3s.6d	3D	2
2736.539	-2.934	1.04e+06	E	3s.3p	3P*	2	3s.6d	3D	1
2736.541	-1.757	1.56e+07	D	3s.3p	3P*	2	3s.6d	3D	2
2736.541	-1.009	8.75e+07	C	3s.3p	3P*	2	3s.6d	3D	3
2776.690	-0.118	6.60e+08	B+	3s.3p	3P*	1	3p2	3P	2
2778.271	-0.199	5.46e+08	C+	3s.3p	3P*	0	3p2	3P	1
2779.820	-0.324	4.08e+08	C+	3s.3p	3P*	1	3p2	3P	1
2779.834	0.375	2.04e+09	B	3s.3p	3P*	2	3p2	3P	2
2781.416	-0.201	5.43e+08	C+	3s.3p	3P*	1	3p2	3P	0
2782.971	-0.128	6.42e+08	B+	3s.3p	3P*	2	3p2	3P	1
2809.755	-0.585	2.20e+08	C	3s.3d	3D	2	3p.3d	3D*	3
2809.756	0.316	1.75e+09	B	3s.3d	3D	3	3p.3d	3D*	3
2811.050	-0.586	2.19e+08	C	3s.3d	3D	3	3p.3d	3D*	2
2811.051	-0.602	2.11e+08	C	3s.3d	3D	1	3p.3d	3D*	2
2811.048	0.064	9.80e+08	B	3s.3d	3D	2	3p.3d	3D*	2
2811.777	-0.602	2.11e+08	C	3s.3d	3D	2	3p.3d	3D*	1
2811.780	-0.125	6.33e+08	C+	3s.3d	3D	1	3p.3d	3D*	1
2846.717	-1.320	3.93e+07	D+	3s.3p	3P*	0	3s.5d	3D	1
2848.346	-0.968	8.85e+07	C	3s.3p	3P*	1	3s.5d	3D	2
2848.344	-1.444	2.96e+07	D+	3s.3p	3P*	1	3s.5d	3D	1
2851.652	-2.622	1.96e+06	E	3s.3p	3P*	2	3s.5d	3D	1
2851.654	-1.446	2.94e+07	D+	3s.3p	3P*	2	3s.5d	3D	2
2851.656	-0.697	1.64e+08	C	3s.3p	3P*	2	3s.5d	3D	3
2852.126	0.255	1.47e+09	A	2p6.3s2	1S	0	3s.3p	1P*	1
2915.453	0.416	2.04e+09	B	3s.3d	1D	2	3p.3d	1D*	2
2936.741	-2.273	4.11e+06	D	3s.3p	3P*	0	3s.6s	3S	1
2938.473	-1.796	1.24e+07	D	3s.3p	3P*	1	3s.6s	3S	1
2941.994	-1.575	2.05e+07	D+	3s.3p	3P*	2	3s.6s	3S	1
3091.064	-0.876	9.27e+07	B	3s.3p	3P*	0	3s.4d	3D	1
3092.982	-1.049	6.24e+07	C	3s.3p	3P*	1	3s.4d	3D	1
3092.986	-0.572	1.87e+08	C	3s.3p	3P*	1	3s.4d	3D	2
3096.883	-2.225	4.14e+06	D	3s.3p	3P*	2	3s.4d	3D	1
3096.888	-1.048	6.20e+07	C	3s.3p	3P*	2	3s.4d	3D	2
3096.891	-0.301	3.47e+08	C+	3s.3p	3P*	2	3s.4d	3D	3
3329.919	-1.812	9.27e+06	D+	3s.3p	3P*	0	3s.5s	3S	1
3332.146	-1.292	3.06e+07	B	3s.3p	3P*	1	3s.5s	3S	1
3336.674	-1.071	5.10e+07	B	3s.3p	3P*	2	3s.5s	3S	1
3627.628	-1.256	2.81e+07	C	3s.4d	1D	2	3p.3d	1D*	2
3829.355	-0.227	2.70e+08	B+	3s.3p	3P*	0	3s.3d	3D	1
3832.299	-0.353	2.02e+08	B+	3s.3p	3P*	1	3s.3d	3D	1
3832.304	0.125	6.05e+08	B+	3s.3p	3P*	1	3s.3d	3D	2
3838.290	-1.527	1.34e+07	B	3s.3p	3P*	2	3s.3d	3D	1
3838.292	0.397	1.13e+09	B+	3s.3p	3P*	2	3s.3d	3D	3
3838.295	-0.351	2.02e+08	B+	3s.3p	3P*	2	3s.3d	3D	2
3890.178	-0.049	3.93e+08	B	3p2	3P	0	3p.3d	3D*	1
3891.906	0.303	8.85e+08	B	3p2	3P	1	3p.3d	3D*	2
3893.304	-0.175	2.94e+08	C+	3p2	3P	1	3p.3d	3D*	1
3895.572	0.574	1.64e+09	B+	3p2	3P	2	3p.3d	3D*	3
3898.059	-0.174	2.94e+08	C+	3p2	3P	2	3p.3d	3D*	2
3899.460	-1.351	1.96e+07	C	3p2	3P	2	3p.3d	3D*	1
3938.400	-1.197	2.74e+07	D	3s.3p	1P*	1	3s.10d	1D	2
3986.753	-1.060	3.65e+07	D	3s.3p	1P*	1	3s.9d	1D	2
4057.505	-0.900	5.10e+07	C+	3s.3p	1P*	1	3s.8d	1D	2
4099.787	-1.666	8.55e+06	D+	3s.5d	1D	2	3p.3d	1D*	2
4167.271	-0.745	6.90e+07	C+	3s.3p	1P*	1	3s.7d	1D	2
4351.906	-0.583	9.20e+07	B+	3s.3p	1P*	1	3s.6d	1D	2
4409.923	-1.951	3.84e+06	D+	3s.6d	1D	2	3p.3d	1D*	2
4571.096	-5.623	7.62e+02	D	2p6.3s2	1S	0	3s.3p	3P*	1
4575.292	-11.740	5.8e-04	D	2p6.3s2	1S	0	3s.3p	3P*	0
4702.991	-0.440	1.10e+08	B+	3s.3p	1P*	1	3s.5d	1D	2
4730.029	-2.347	1.34e+06	C+	3s.3p	1P*	1	3s.6s	1S	0
5167.321	-0.870	3.39e+07	B+	3s.3p	3P*	0	3s.4s	3S	1
5172.684	-0.393	1.01e+08	B+	3s.3p	3P*	1	3s.4s	3S	1
5183.604	-0.167	1.68e+08	A	3s.3p	3P*	2	3s.4s	3S	1
5528.405	-0.498	6.95e+07	B+	3s.3p	1P*	1	3s.4d	1D	2
5711.088	-1.724	3.86e+06	B	3s.3p	1P*	1	3s.5s	1S	0
6318.717	-2.103	1.32e+06	D+	3s.4s	3S	1	3s.6p	3P*	2
6319.237	-2.324	7.92e+05	D	3s.4s	3S	1	3s.6p	3P*	1
6319.495	-2.803	2.63e+05	E	3s.4s	3S	1	3s.6p	3P*	0
7060.414	-1.351	5.96e+06	D	3s.3d	1D	2	3s.10f	1F*	3
7193.184	-1.194	8.26e+06	D	3s.3d	1D	2	3s.9f	1F*	3
7291.055	-2.824	1.88e+05	C+	3s.4s	1S	0	3s.6p	1P*	1
7387.689	-1.000	1.22e+07	C+	3s.3d	1D	2	3s.8f	1F*	3
